Time	EMG	Muscle Force
17.669	-0.373913	0.217236
17.67	-0.206893	0.217617
17.671	-0.075534	0.217236
17.672	-0.297548	0.217236
17.673	0.806376	0.217236
17.674	1.45237	0.217236
17.675	0.53775	0.217617
17.676	-1.13711	0.217236
17.677	-1.94517	0.217617
17.678	-0.398962	0.217236
17.679	0.789422	0.217617
17.68	0.859037	0.217236
17.681	0.589186	0.217236
17.682	0.217179	0.217617
17.683	-0.165163	0.217617
17.684	-0.424105	0.217617
17.685	-0.411209	0.217617
17.686	-0.285044	0.217617
17.687	-0.0834887	0.217617
17.688	-0.192604	0.217617
17.689	-0.0919656	0.217617
17.69	1.10431	0.217617
17.691	1.34257	0.217617
17.692	0.0139904	0.217617
17.693	-1.45108	0.217617
17.694	-1.7187	0.217617
17.695	0.0990195	0.217617
17.696	0.826352	0.217617
17.697	0.829986	0.217617
17.698	0.520991	0.217617
17.699	0.0752156	0.217236
17.7	-0.293267	0.217617
17.701	-0.416095	0.217617
17.702	-0.395979	0.217617
17.703	-0.234231	0.217617
17.704	0.0162756	0.217617
17.705	-0.360725	0.217236
17.706	0.263496	0.217617
17.707	1.32819	0.217617
17.708	1.09882	0.217617
17.709	-0.462706	0.217617
17.71	-1.75881	0.217617
17.711	-1.28442	0.217617
17.712	0.42305	0.217617
17.713	0.84647	0.217617
17.714	0.771641	0.217617
17.715	0.435987	0.217617
17.716	0.0289816	0.217617
17.717	-0.3173	0.217617
17.718	-0.457414	0.217617
17.719	-0.403301	0.217617
17.72	-0.217768	0.217617
17.721	-0.0675907	0.217617
17.722	-0.363219	0.217617
17.723	0.714491	0.217617
17.724	1.46023	0.217617
17.725	0.723905	0.217617
17.726	-0.932176	0.217236
17.727	-1.93823	0.217236
17.728	-0.670646	0.217617
17.729	0.626753	0.217617
17.73	0.882746	0.217236
17.731	0.695387	0.217617
17.732	0.276698	0.217617
17.733	-0.130794	0.217617
17.734	-0.369014	0.217617
17.735	-0.439807	0.217617
17.736	-0.343959	0.217617
17.737	-0.137204	0.217617
17.738	-0.189824	0.217236
17.739	-0.131942	0.217236
17.74	1.08838	0.217617
17.741	1.44101	0.217617
17.742	0.168744	0.217617
17.743	-1.41532	0.217236
17.744	-1.86881	0.217617
17.745	-0.0837827	0.217236
17.746	0.785318	0.217236
17.747	0.903275	0.217236
17.748	0.626642	0.217236
17.749	0.166857	0.217236
17.75	-0.25624	0.217236
17.751	-0.45142	0.217236
17.752	-0.449264	0.217236
17.753	-0.298109	0.217236
17.754	-0.0530916	0.217236
17.755	-0.310998	0.217236
17.756	0.244441	0.217236
17.757	1.33335	0.217236
17.758	1.18962	0.217236
17.759	-0.38613	0.217236
17.76	-1.73711	0.217236
17.761	-1.42615	0.217236
17.762	0.354303	0.217236
17.763	0.892129	0.217236
17.764	0.808221	0.217236
17.765	0.422159	0.217236
17.766	0.00945838	0.217236
17.767	-0.294487	0.217236
17.768	-0.413745	0.217236
17.769	-0.368207	0.217236
17.77	-0.256921	0.217236
17.771	-0.123372	0.217236
17.772	-0.404042	0.217236
17.773	0.682306	0.217236
17.774	1.54902	0.217236
17.775	0.795701	0.217236
17.776	-0.901112	0.217236
17.777	-1.9374	0.217236
17.778	-0.782678	0.217236
17.779	0.588412	0.217236
17.78	0.833154	0.217236
17.781	0.690246	0.217236
17.782	0.361603	0.217236
17.783	-0.0295064	0.217236
17.784	-0.337069	0.217236
17.785	-0.453969	0.217236
17.786	-0.376859	0.217236
17.787	-0.196784	0.217236
17.788	-0.214145	0.217236
17.789	-0.238874	0.217236
17.79	1.05013	0.217236
17.791	1.49824	0.217236
17.792	0.324027	0.217236
17.793	-1.25917	0.217236
17.794	-1.85434	0.217236
17.795	-0.197073	0.217236
17.796	0.660836	0.217236
17.797	0.777773	0.217236
17.798	0.58275	0.217236
17.799	0.244937	0.217236
17.8	-0.126701	0.217236
17.801	-0.363233	0.217236
17.802	-0.431599	0.217236
17.803	-0.326729	0.217236
17.804	-0.100451	0.217236
17.805	-0.342434	0.217236
17.806	0.121711	0.217236
17.807	1.2664	0.217236
17.808	1.25889	0.217236
17.809	-0.227717	0.217236
17.81	-1.5991	0.217236
17.811	-1.46831	0.217236
17.812	0.239692	0.217236
17.813	0.758498	0.217236
17.814	0.752888	0.217236
17.815	0.516898	0.217236
17.816	0.11827	0.217236
17.817	-0.277253	0.217236
17.818	-0.459353	0.217236
17.819	-0.394381	0.217236
17.82	-0.221684	0.217236
17.821	-0.0630763	0.217236
17.822	-0.409481	0.217236
17.823	0.519034	0.217236
17.824	1.42118	0.217236
17.825	0.915438	0.217236
17.826	-0.724671	0.217236
17.827	-1.87014	0.217236
17.828	-0.912687	0.217236
17.829	0.559853	0.217236
17.83	0.845375	0.217236
17.831	0.711259	0.217236
17.832	0.341455	0.217236
17.833	-0.0645396	0.217236
17.834	-0.383899	0.217236
17.835	-0.460283	0.217236
17.836	-0.34941	0.217236
17.837	-0.12406	0.217236
17.838	-0.0808087	0.217236
17.839	-0.245687	0.217236
17.84	0.913717	0.217236
17.841	1.40407	0.217236
17.842	0.346114	0.217236
17.843	-1.19175	0.217236
17.844	-1.89427	0.217236
17.845	-0.272175	0.217236
17.846	0.745409	0.217236
17.847	0.865251	0.217236
17.848	0.613975	0.217236
17.849	0.217654	0.217236
17.85	-0.155207	0.217236
17.851	-0.415625	0.217236
17.852	-0.474817	0.217236
17.853	-0.321991	0.217236
17.854	-0.0748492	0.217236
17.855	-0.281421	0.217236
17.856	0.0553111	0.217236
17.857	1.24199	0.217236
17.858	1.32521	0.217236
17.859	-0.151089	0.217236
17.86	-1.59618	0.217236
17.861	-1.60069	0.217236
17.862	0.219424	0.217236
17.863	0.837637	0.217236
17.864	0.806349	0.217236
17.865	0.429032	0.217236
17.866	0.0633992	0.217236
17.867	-0.234289	0.217236
17.868	-0.420671	0.217236
17.869	-0.406069	0.217236
17.87	-0.218908	0.217236
17.871	-0.0258028	0.217236
17.872	-0.384029	0.217236
17.873	0.444583	0.217236
17.874	1.38083	0.217236
17.875	0.963879	0.217236
17.876	-0.672978	0.217236
17.877	-1.88025	0.217236
17.878	-1.00672	0.217236
17.879	0.580626	0.217236
17.88	0.886799	0.217236
17.881	0.688727	0.217236
17.882	0.309692	0.217236
17.883	-0.0335794	0.217236
17.884	-0.311265	0.217236
17.885	-0.442686	0.217236
17.886	-0.352256	0.217236
17.887	-0.16821	0.217236
17.888	-0.120281	0.217236
17.889	-0.319267	0.217236
17.89	0.87032	0.217236
17.891	1.4599	0.217236
17.892	0.465396	0.217236
17.893	-1.14236	0.217236
17.894	-1.89513	0.217236
17.895	-0.329092	0.217236
17.896	0.721141	0.217236
17.897	0.803158	0.217236
17.898	0.626875	0.217236
17.899	0.259154	0.217236
17.9	-0.193568	0.217236
17.901	-0.433781	0.217236
17.902	-0.426209	0.217236
17.903	-0.278456	0.217236
17.904	-0.0584737	0.217236
17.905	-0.253867	0.217236
17.906	-0.0288355	0.217236
17.907	1.17402	0.217236
17.908	1.31933	0.217236
17.909	-0.0831234	0.217236
17.91	-1.50243	0.217236
17.911	-1.6388	0.217236
17.912	0.16718	0.217236
17.913	0.786997	0.217236
17.914	0.781267	0.217236
17.915	0.518931	0.217236
17.916	0.0843686	0.217236
17.917	-0.248735	0.217236
17.918	-0.39858	0.217236
17.919	-0.401362	0.217236
17.92	-0.254218	0.217236
17.921	-0.0579928	0.217236
17.922	-0.365173	0.217617
17.923	0.370647	0.217617
17.924	1.35706	0.217236
17.925	1.06352	0.217236
17.926	-0.539052	0.217236
17.927	-1.81493	0.217236
17.928	-1.19923	0.217236
17.929	0.439354	0.217236
17.93	0.859892	0.217236
17.931	0.786054	0.217617
17.932	0.436014	0.217236
17.933	0.0249931	0.217236
17.934	-0.325187	0.217617
17.935	-0.510525	0.217236
17.936	-0.448482	0.217617
17.937	-0.204404	0.217236
17.938	-0.0501345	0.217236
17.939	-0.306301	0.217617
17.94	0.818092	0.217236
17.941	1.49991	0.217617
17.942	0.584561	0.217617
17.943	-1.09605	0.217236
17.944	-1.95193	0.217617
17.945	-0.498247	0.217617
17.946	0.691368	0.217236
17.947	0.875376	0.217236
17.948	0.650611	0.217617
17.949	0.255115	0.217617
17.95	-0.136338	0.217617
17.951	-0.385147	0.217236
17.952	-0.437501	0.217617
17.953	-0.345566	0.217617
17.954	-0.134214	0.217617
17.955	-0.201955	0.217617
17.956	-0.0707958	0.217617
17.957	1.13288	0.217617
17.958	1.4146	0.217236
17.959	0.0740567	0.217617
17.96	-1.45547	0.217617
17.961	-1.78084	0.217617
17.962	-0.0115902	0.217236
17.963	0.755391	0.217617
17.964	0.818721	0.217236
17.965	0.579815	0.217236
17.966	0.216163	0.217236
17.967	-0.165602	0.217617
17.968	-0.412129	0.217617
17.969	-0.501901	0.217236
17.97	-0.384029	0.217617
17.971	-0.0648357	0.217236
17.972	-0.291019	0.217617
17.973	0.337622	0.217236
17.974	1.36124	0.217236
17.975	1.12166	0.217236
17.976	-0.511774	0.217617
17.977	-1.7865	0.217236
17.978	-1.22901	0.217617
17.979	0.459985	0.217617
17.98	0.835914	0.217236
17.981	0.729677	0.217236
17.982	0.394068	0.217236
17.983	0.0193566	0.217617
17.984	-0.289422	0.217236
17.985	-0.460633	0.217617
17.986	-0.425015	0.217236
17.987	-0.223464	0.217617
17.988	-0.0246105	0.217236
17.989	-0.287183	0.217617
17.99	0.7233	0.217617
17.991	1.43056	0.217236
17.992	0.66378	0.217617
17.993	-0.99613	0.217617
17.994	-1.94113	0.217617
17.995	-0.614567	0.217617
17.996	0.673729	0.217617
17.997	0.871241	0.217617
17.998	0.656048	0.217617
17.999	0.26877	0.217617
18	-0.0945562	0.217236
18.001	-0.33852	0.217617
18.002	-0.438579	0.217236
18.003	-0.354592	0.217236
18.004	-0.135544	0.217236
18.005	-0.197906	0.217236
18.006	-0.193273	0.217236
18.007	1.03807	0.217236
18.008	1.42733	0.217236
18.009	0.237368	0.217236
18.01	-1.3129	0.217236
18.011	-1.81157	0.217236
18.012	-0.101377	0.217236
18.013	0.733032	0.217236
18.014	0.832916	0.217236
18.015	0.534632	0.217236
18.016	0.15066	0.217236
18.017	-0.178136	0.217236
18.018	-0.388885	0.217236
18.019	-0.416247	0.217236
18.02	-0.282617	0.217236
18.021	-0.0589592	0.217236
18.022	-0.335253	0.217236
18.023	0.183617	0.217236
18.024	1.30212	0.217236
18.025	1.21941	0.217236
18.026	-0.381669	0.217236
18.027	-1.7421	0.217236
18.028	-1.38798	0.217236
18.029	0.370345	0.217236
18.03	0.877865	0.217236
18.031	0.809601	0.217236
18.032	0.436733	0.217236
18.033	0.000266724	0.217236
18.034	-0.309711	0.217236
18.035	-0.446608	0.217236
18.036	-0.405969	0.217236
18.037	-0.245445	0.217236
18.038	-0.0438808	0.217236
18.039	-0.339953	0.217236
18.04	0.648207	0.217236
18.041	1.44868	0.217236
18.042	0.805261	0.217236
18.043	-0.866593	0.217236
18.044	-1.9226	0.217617
18.045	-0.808638	0.217236
18.046	0.569286	0.217236
18.047	0.860611	0.217617
18.048	0.730395	0.217617
18.049	0.374593	0.217617
18.05	-0.0578122	0.217236
18.051	-0.353265	0.217236
18.052	-0.47529	0.217617
18.053	-0.409167	0.217236
18.054	-0.206688	0.217617
18.055	-0.174131	0.217617
18.056	-0.180444	0.217236
18.057	1.05933	0.217617
18.058	1.5004	0.217617
18.059	0.310987	0.217617
18.06	-1.29836	0.217617
18.061	-1.9102	0.217617
18.062	-0.251217	0.217617
18.063	0.601162	0.217617
18.064	1.14572	0.217617
18.065	0.659341	0.217617
18.066	0.11311	0.217617
18.067	-0.324743	0.217617
18.068	-0.536214	0.217617
18.069	-0.450852	0.217617
18.07	-0.22329	0.217617
18.071	-0.378512	0.217617
18.072	0.138089	0.217617
18.073	1.28588	0.217617
18.074	1.29467	0.217617
18.075	-0.222442	0.217617
18.076	-1.60891	0.217617
18.077	-1.477	0.217617
18.078	0.269129	0.217236
18.079	0.786913	0.217617
18.08	0.789345	0.217236
18.081	0.493113	0.217617
18.082	0.0697015	0.217617
18.083	-0.286392	0.217617
18.084	-0.471187	0.217617
18.085	-0.413816	0.217236
18.086	-0.230243	0.217236
18.087	-0.0526965	0.217617
18.088	-0.36778	0.217617
18.089	0.568268	0.217236
18.09	1.4395	0.217236
18.091	0.8912	0.217236
18.092	-0.785012	0.217236
18.093	-1.89274	0.217236
18.094	-0.892192	0.217236
18.095	0.562895	0.217236
18.096	0.821616	0.217236
18.097	0.701244	0.217236
18.098	0.364938	0.217236
18.099	-0.0209475	0.217236
18.1	-0.316481	0.217236
18.101	-0.476192	0.217236
